札幌,sapporo
高野山・橋本,Kihoku
御坊・有田・海南・日高,gobo
南紀白浜・紀伊田辺・龍神,shirahama
勝浦・串本・すさみ,Katsuura
熊野古道・新宮・本宮・中辺路,hongu
鳥取・岩美・浜村,tottori
倉吉・三朝温泉,chubu
米子・皆生温泉・大山,seibu
松江・玉造・安来・奥出雲,matsue
出雲・大田・石見銀山,toubu
津和野・益田・浜田・江津,masuda
隠岐諸島,ritou
岡山,okayama
牛窓・瀬戸内・備前,bizen
津山・湯郷・美作・奥津,tsuyama
湯原・蒜山・新見・高梁,niimi
倉敷・総社・玉野・笠岡,kurashiki
広島,hiroshima
東広島・竹原・三原・広島空港,higashihiroshima
福山・尾道・しまなみ海道,fukuyama
呉・江田島,kure
三次・庄原・帝釈峡,shohara
三段峡・芸北・北広島,sandankyo
宮島・宮浜温泉・廿日市,miyajima
山口・湯田温泉・防府,yamaguchi
下関・宇部,shimonoseki
岩国・周南・柳井,iwakuni
萩・長門・秋吉台,hagi
徳島・鳴門,tokushima
大歩危・祖谷・剣山・吉野川,hokubu
阿南・日和佐・宍喰,nanbu
高松・さぬき・東かがわ,takamatsu
坂出・宇多津・丸亀,sakaide
琴平・観音寺,kotohira
小豆島・直島,ritou
松山・道後,chuuyo
今治・しまなみ海道,touyo
西条・新居浜・四国中央,saijo
宇和島・八幡浜,nanyo
高知・南国・香南・伊野,kouchi
安芸・室戸,toubu
足摺・四万十・宿毛・須崎,seibu
博多・キャナルシティ・海の中道・太宰府・二日市,fukuoka
天神・中洲・薬院・福岡ドーム・糸島,seibu
北九州,kitakyusyu
宗像・宮若・飯塚,chikuzen
久留米・甘木・原鶴温泉・筑後川温泉,kurume
北九州空港・苅田・行橋・豊前,buzen
大牟田・柳川・八女・筑後,chikugo
佐賀・古湯温泉,saga
鳥栖,tosu
嬉野・武雄・伊万里・有田・太良,ureshino
唐津・呼子,karatsu
長崎,nagasaki
雲仙・島原・小浜,unzen
諫早・大村・長崎空港,airport
ハウステンボス・佐世保・平戸,sasebo
五島列島,ritou
対馬,tsushima
壱岐島,iki
熊本,kumamoto
大津・玉名・山鹿・荒尾・菊池,kikuchi
阿蘇,aso
宇土・八代・水俣,yatsushiro
人吉・球磨,kuma
天草･本渡,amakusa
黒川温泉・杖立,kurokawa
大分,oita
別府・日出,beppu
佐伯・臼杵・豊後大野,usuki
湯布院・湯平,yufuin
久住・竹田,taketa
九重・日田・天瀬,hita
国東・中津・宇佐・耶馬渓,kunisaki
宮崎,miyazaki
高千穂・延岡・日向・高鍋,hokubu
都城・えびの・日南・綾,nanbu
鹿児島・桜島,kagoshima
霧島・国分・鹿児島空港,oosumi
鹿屋・垂水・志布志,kanoya
川内・出水,hokusatsu
指宿・枕崎・南さつま,nansatsu
屋久島,yakushima
種子島,ritou
奄美大島･喜界島・徳之島,amami
沖永良部島・与論島,okinoerabu
那覇,nahashi
恩納・名護・本部・今帰仁,hokubu
宜野湾・北谷・読谷・沖縄市・うるま,chubu
糸満・豊見城・南城,nanbu
慶良間・渡嘉敷・座間味・阿嘉,kerama
久米島,kumejima
宮古島・伊良部島,Miyako
石垣・西表・小浜島,ritou
与那国島,yonaguni
大東島,daito
